         173281 function calls (164229 primitive calls) in 27.336 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120   26.453    0.220   26.453    0.220 {built-in method select.select}
    160/1    0.504    0.003   24.626   24.626 {method 'switch' of 'greenlet.greenlet' objects}
        1    0.111    0.111    0.111    0.111 {built-in method _winapi._mimetypes_read_windows_registry}
       71    0.012    0.000    0.012    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        1    0.008    0.008    0.008    0.008 {built-in method _socket.gethostbyaddr}
       11    0.005    0.000    0.005    0.000 {built-in method builtins.print}
     4229    0.005    0.000    0.010    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\nodes.py:167(iter_child_nodes)
      749    0.004    0.000    0.009    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\lexer.py:667(tokeniter)
       14    0.004    0.000    0.004    0.000 {built-in method io.open}
       11    0.004    0.000    0.005    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    16410    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
  586/307    0.003    0.000    0.071    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\coercions.py:314(expect)
       44    0.003    0.000    0.003    0.000 {built-in method nt.stat}
        5    0.003    0.001    0.003    0.001 {built-in method builtins.compile}
     2470    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     6346    0.003    0.000    0.004    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\nodes.py:145(iter_fields)
8182/7930    0.003    0.000    0.008    0.000 {built-in method builtins.getattr}
      230    0.003    0.000    0.004    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:3851(__init__)
    62/59    0.003    0.000   51.613    0.875 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\selectors.py:320(select)
2875/2147    0.002    0.000    0.009    0.000 {built-in method builtins.hasattr}
   251/53    0.002    0.000    0.007    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\cache_key.py:221(_gen_cache_key)
       14    0.002    0.000    0.002    0.000 {method 'recv_into' of '_socket.socket' objects}
  635/555    0.002    0.000    0.008    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\util\langhelpers.py:1299(__getattr__)
   1482/5    0.002    0.000    0.022    0.004 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\visitor.py:35(visit)
      517    0.002    0.000    0.012    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\lexer.py:613(wrap)
   891/20    0.002    0.000    0.006    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\nodes.py:193(find_all)
  122/116    0.002    0.000    0.005    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\timer.py:54(__call__)
      125    0.002    0.000   25.808    0.206 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\selects.py:31(wait)
   176/41    0.002    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\util\langhelpers.py:424(get_cls_kwargs)
  647/253    0.002    0.000    0.065    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\util\langhelpers.py:1250(__get__)
      175    0.001    0.000    0.005    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:1949(__init__)
      816    0.001    0.000    0.003    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\visitors.py:816(iterate)
      332    0.001    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\nodes.py:127(__init__)
  815/175    0.001    0.000    0.007    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\visitor.py:44(generic_visit)
  396/132    0.001    0.000    0.010    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\visitors.py:1133(clone)
        5    0.001    0.000    0.003    0.001 {method 'read' of '_io.BufferedReader' objects}
       14    0.001    0.000    0.001    0.000 {built-in method builtins.exec}
      102    0.001    0.000    0.018    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\strategies.py:66(_register_attribute)
        2    0.001    0.000    0.001    0.000 {built-in method _sqlite3.connect}
  130/124    0.001    0.000    0.007    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\hub.py:452(fire_timers)
       11    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      230    0.001    0.000    0.009    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\default_comparator.py:51(_boolean_compare)
      132    0.001    0.000    0.006    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\event\registry.py:280(listen)
       51    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\loading.py:811(_instance_processor)
      212    0.001    0.000    0.010    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\traversals.py:216(_copy_internals)
     2937    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       92    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\annotation.py:301(_with_annotations)
      249    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\hub.py:417(prepare_timers)
       69    0.001    0.000    0.001    0.000 {method 'fetchall' of 'sqlite3.Cursor' objects}
      168    0.001    0.000    0.003    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:5351(safe_construct)
     1970    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF8A6409920}
     1482    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\visitor.py:28(get_visitor)
      278    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       51    0.001    0.000    0.004    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\loading.py:78(instances)
      102    0.001    0.000    0.007    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\attributes.py:465(__getattr__)
  472/469    0.001    0.000    0.007    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\util\langhelpers.py:1138(__get__)
       53    0.001    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\engine\default.py:1271(_init_compiled)
        9    0.001    0.000    0.001    0.000 {method '_accept' of '_socket.socket' objects}
    62/59    0.001    0.000   13.722    0.233 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\green\select.py:29(select)
      657    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\compiler.py:453(write)
 1262/664    0.001    0.000    0.018    0.000 {built-in method builtins.next}
     4024    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      102    0.001    0.000    0.010    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\attributes.py:2585(register_attribute_impl)
    62/12    0.001    0.000    0.002    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:493(_parse)
      234    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\visitors.py:458(get_children)
    75/61    0.001    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\traversals.py:482(compare)
       40    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\path_registry.py:538(__init__)
      128    0.001    0.000    0.001    0.000 {built-in method _heapq.heappop}
      537    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\mimetypes.py:86(add_type)
      135    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\hub.py:439(schedule_call_global)
    53/52    0.001    0.000    0.043    0.001 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\session.py:2078(_execute_internal)
      132    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\event\registry.py:120(_stored_in_collection)
    62/59    0.001    0.000   13.967    0.237 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\selectors.py:314(_select)
